section_index,Memo,background_id,character_id,character_location,emotion_style,emotion_id,lines,system_command,image_command
0,,,Mono,,,,"내 방에서의 어지럼과 슬럼프를 벗어나, 나는 '카페 시브리즈'의 평화로운 품에 안긴다. 카페의 문을 열고 들어서자마자, 조용한 방울 소리가 나를 맞이한다. 이 소리는 언제 들어도 마음을 안정시키는 묘한 힘이 있다. 오후 한 시, 나는 예정보다 일찍 도착했다. 이른 시간이지만, 이곳에서의 몇 시간은 내게 큰 위안을 준다.",,
,,,Mono,,,,"카페의 주인, 조셉 할아버지는 나를 보자마자 환한 미소로 맞이한다. 그의 눈빛에는 항상 따뜻함이 가득하다.

",,
,,,Joseph,Center,Smile,,"아하, 우리 마을의 숨겨진 보석, 라이언이 여기 있군! 오늘은 어떻게 해서인지 일찍 왔네. 얼굴에는 피로가 가득하지만 말이야.",,
,,,Mono,,,,나는 그의 농담에 가볍게 웃으며 대답한다. 그의 말이 진심에서 우러난 것임을 안다. 나는 조셉 할아버지의 카페를 항상 특별한 안식처로 여겨왔다.,,
,,,Ryan,,,,"그래요, 오늘은 조금 일찍 나왔네요. 아시다시피, 최근 좀 바빴어요. 하지만 여기 오면 항상 마음이 편안해져요.",,
,,,Mono,,,,"조셉 할아버지는 나에게 특별한 커피를 내어주며, 이곳의 평화가 나를 둘러싼다. 나는 나의 단골 자리, 바다가 내려다보이는 창가에 자리를 잡고 앉는다. 이곳의 모든 것이 나에게 익숙하다. 벽에 걸린 사진들, 각종 장식품들, 그리고 바다를 바라보는 창문 너머의 풍경까지.",,
,,,Mono,,,,카페는 조셉 할아버지의 수많은 여행과 그의 이야기들로 가득 차 있다. 나는 그의 이야기를 듣는 것을 좋아한다. 그의 모험담은 내게 영감을 주곤 한다.,,
,,,Ryan,,,,이 커피 정말 좋아요. 여기 오면 항상 제 마음이 진정되는 것 같아요.,,
,,,Joseph,Center,Smile,,"그래, 네가 여기에 오는 걸 좋아한다는 걸 알고 있어. 나도 네가 여기에 올 때마다 기쁘지. 이 카페가 너에게 작은 피난처가 되길 바란다네.",,
,,,Mono,,,,"나는 커피를 마시며 조용히 창밖을 바라본다. 이곳에서 나는 잠시나마 세상의 무게로부터 벗어나, 내 내면의 목소리에 귀를 기울일 수 있다. 조셉 할아버지의 카페는 나에게 창작의 영감을 주는 동시에, 나만의 고요한 피난처가 되어주었다. ",,
